director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Mike Flanagan,Mike Flanagan (director); Elizabeth Reaser,Annalise Basso,Henry Thomas,Horror Thriller,ouija: origin of evil,Mike Flanagan (director); Elizabeth Reaser Annalise Basso Henry Thomas Mike Flanagan Horror Thriller
Tyler Perry,Tyler Perry (director); Tyler Perry,Cassi Davis,Patrice Lovely,Comedy Horror Drama,boo! a madea halloween,Tyler Perry (director); Tyler Perry Cassi Davis Patrice Lovely Tyler Perry Comedy Horror Drama
Brian Baugh,Brian Baugh (director); Masey McLain,Ben Davies,Sadie Robertson,Drama,i'm not ashamed,Brian Baugh (director); Masey McLain Ben Davies Sadie Robertson Brian Baugh Drama
Ewan McGregor,Ewan McGregor (director); Ewan McGregor,Jennifer Connelly,Dakota Fanning,Crime Drama,american pastoral,Ewan McGregor (director); Ewan McGregor Jennifer Connelly Dakota Fanning Ewan McGregor Crime Drama
Ron Howard,Ron Howard (director); Tom Hanks,Felicity Jones,Irrfan Khan,Mystery Thriller Drama Action,inferno,Ron Howard (director); Tom Hanks Felicity Jones Irrfan Khan Ron Howard Mystery Thriller Drama Action
Scott Derrickson,Scott Derrickson (director); Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Action Adventure Fantasy Science Fiction,doctor strange,Scott Derrickson (director); Benedict Cumberbatch Chiwetel Ejiofor Rachel McAdams Scott Derrickson Action Adventure Fantasy Science Fiction
Mike Mitchell,Mike Mitchell (director),Anna Kendrick,Justin Timberlake,Family Animation Fantasy Adventure Comedy Music,trolls,Mike Mitchell (director) Anna Kendrick Justin Timberlake Mike Mitchell Family Animation Fantasy Adventure Comedy Music
Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,Drama History War,hacksaw ridge,Andrew Garfield Sam Worthington Luke Bracey Mel Gibson Drama History War
Jeff Nichols,Joel Edgerton,Ruth Negga,Marton Csokas,Romance Drama,loving,Joel Edgerton Ruth Negga Marton Csokas Jeff Nichols Romance Drama
Anna Biller,Anna Biller (director); Samantha Robinson,unknown,unknown,Fantasy Romance Horror,the love witch,Anna Biller (director); Samantha Robinson unknown unknown Anna Biller Fantasy Romance Horror
Denis Villeneuve,Amy Adams,Jeremy Renner,Forest Whitaker,Drama Science Fiction Mystery,arrival,Amy Adams Jeremy Renner Forest Whitaker Denis Villeneuve Drama Science Fiction Mystery
Ang Lee,Joe Alwyn,Kristen Stewart,Chris Tucker,Drama War,billy lynn's long halftime walk,Joe Alwyn Kristen Stewart Chris Tucker Ang Lee Drama War
David E. Talbert,Kimberly Elise,Danny Glover,John Michael Higgins,Comedy Drama,almost christmas,Kimberly Elise Danny Glover John Michael Higgins David E. Talbert Comedy Drama
Farren Blackburn,Naomi Watts,Oliver Platt,Charlie Heaton,Drama Thriller,shut in,Naomi Watts Oliver Platt Charlie Heaton Farren Blackburn Drama Thriller
David Yates,David Yates (director),Eddie Redmayne,Katherine Waterston,Adventure Fantasy,fantastic beasts and where to find them,David Yates (director) Eddie Redmayne Katherine Waterston David Yates Adventure Fantasy
Kelly Fremon Craig,Hailee Steinfeld,Woody Harrelson,Kyra Sedgwick,Comedy Drama,the edge of seventeen,Hailee Steinfeld Woody Harrelson Kyra Sedgwick Kelly Fremon Craig Comedy Drama
Ben Younger,Miles Teller,Aaron Eckhart,Katey Sagal,Drama,bleed for this,Miles Teller Aaron Eckhart Katey Sagal Ben Younger Drama
"Ron Clements, John Musker",Auliʻi Cravalho,Dwayne Johnson,Rachel House,Adventure Comedy Family Animation,moana,"Auliʻi Cravalho Dwayne Johnson Rachel House Ron Clements, John Musker Adventure Comedy Family Animation"
Robert Zemeckis,Brad Pitt,Marion Cotillard,Jared Harris,Action Drama War Romance Thriller,allied,Brad Pitt Marion Cotillard Jared Harris Robert Zemeckis Action Drama War Romance Thriller
